UNDID,Reversed a previous action
DELVE,To reach inside a receptacle and search for something
SAUCY,Impertinent; cheeky
IMBUE,To inspire or permeate with a feeling or quality
SHIRK,To avoid or neglect a duty or responsibility
PIQUE,A feeling of irritation or resentment
SKATE,An ice skate or a roller skate
BESET,To trouble or threaten persistently
WOODY,Relating to or characteristic of wood
WITCH,A woman thought to have magic powers
WAFER,A very thin, light, crisp, sweet biscuit
NATAL,Relating to the place or time of one's birth
BROOD,A family of young animals
LOOSE,Not firmly or tightly fixed in place
SCOWL,To frown in an angry or bad-tempered way
URINE,A watery, typically yellowish fluid stored in the bladder
STALL,A stand, booth, or compartment for the sale of goods in a market
FLINT,A hard gray rock consisting of nearly pure silica
CRAFT,An activity involving skill in making things by hand
RASPY,Hoarse or harsh-sounding
CHALK,A white, soft, earthy limestone
PAPAL,Relating to a pope or to the papacy
EAGER,Strongly wanting to do or have something
SQUIB,A small firework that burns with a hissing sound before exploding
PUFFY,Soft, rounded, and swollen
COUCH,A long upholstered seat with a back and arms
GRAIN,A wheat or any other cultivated cereal crop
PERIL,Serious and immediate danger
TEARY,Connected with or causing tears
ENVOY,A messenger or representative, especially one on a diplomatic mission
DANCE,To move rhythmically to music
EDIFY,To instruct or improve someone morally or intellectually
DOWNY,Covered with fine, soft hair or feathers
PLEAD,To make an emotional appeal
VERSE,Writing arranged with a metrical rhythm, typically having a rhyme
TENOR,A singing voice between baritone and alto or countertenor
WRITE,To mark letters, words, or other symbols on a surface
CRUDE,In a natural or raw state; not yet processed or refined
CLACK,A sharp, short sound as of a hard object striking another
KINKY,Having or involving unusual sexual tastes
USUAL,Habitually or typically occurring or done
BOAST,To talk with excessive pride and self-satisfaction
TAFFY,A chewy candy made from boiled sugar or molasses
SLAIN,Past participle of slay
OPERA,A dramatic work in one or more acts, set to music for singers and instrumentalists
IONIC,Relating to, containing, or using ions
FJORD,A long, narrow, deep inlet of the sea between high cliffs
JOIST,A length of timber or steel supporting part of the structure of a building
COACH,A person who trains or instructs a team or performer
CUMIN,The aromatic seeds of a plant of the parsley family
YOUNG,Having lived for only a short time
INFER,To deduce or conclude from evidence and reasoning
LOGIN,An act of logging in to a computer, database, or system
PLUNK,To set down heavily or abruptly
CHUCK,To throw something carelessly or casually
THRUM,To make a continuous rhythmic humming sound
HOIST,To raise something by means of ropes and pulleys
STAGE,A point, period, or step in a process or development
DUCHY,The territory of a duke or duchess
BOWEL,The part of the alimentary canal from the stomach to the anus
FROZE,Past tense of freeze
BREAK,To separate or cause to separate into pieces as a result of a blow, shock, or strain
TANGY,Having a strong, piquant flavor or smell
TUNIC,A loose garment, typically sleeveless and reaching to the wearer's knees
SLICK,Done or operating in an impressively smooth and efficient way
GROSS,Unattractively large or bloated
CACHE,A collection of items of the same type stored in a hidden or inaccessible place
AROSE,Past tense of arise
PRONE,Likely to or liable to suffer from, do, or experience something
AFOUL,Into conflict or difficulty with
PILOT,A person who operates the flying controls of an aircraft
EVADE,To escape or avoid, especially by cleverness or trickery
CHIME,A melodious ringing sound produced by a bell
PRISM,A solid geometric figure whose two end faces are similar, equal, and parallel
SENSE,A faculty by which the body perceives an external stimulus
OFTEN,Frequently; many times
PYGMY,A member of certain peoples of very short stature in equatorial Africa
ARGUE,To give reasons or cite evidence in support of an idea, action, or theory
TOWER,A tall, narrow building
SWEAT,Moisture exuded through the pores of the skin
PRIMO,First-class; top-quality
SPASM,A sudden involuntary muscular contraction
ALIGN,To place or arrange in a straight line
DOLLY,A child's toy doll
BRUNT,The worst part or chief impact of a specified thing
SPLIT,To break or cause to break forcibly into parts
FINCH,A seed-eating songbird
SLIMY,Covered by or having the consistency or appearance of slime
DINER,A person who is eating a meal
APRON,A protective garment worn over other clothes when working
HASTY,Done or acting with excessive speed or urgency
PHOTO,A photograph
OMEGA,The last letter of the Greek alphabet
CHEST,The front surface of a person's or animal's body between the neck and the stomach
HUMPH,An expression of annoyance or dissatisfaction
GUIDE,A person who shows the way to others
CIVIL,Relating to ordinary citizens and their concerns
LOFTY,Of imposing height
LEASH,A strap or cord for leading a dog or other animal
BATHE,To wash by immersing one's body in water
TAKEN,Past participle of take
SLIDE,To move smoothly along a surface
RAISE,To lift or move to a higher position or level
COVER,To put something on top of or in front of something else
SCARY,Frightening; causing fear
PINKY,The little finger
FAUNA,The animals of a particular region, habitat, or geological period
CARGO,Goods carried on a ship, aircraft, or motor vehicle
RHYME,Correspondence of sound between words or the endings of words
SMELT,To extract metal from its ore by a process involving heating and melting
HIPPY,A person of unconventional appearance, typically having long hair
LABOR,Work, especially hard physical work
VENOM,A poisonous substance secreted by animals such as snakes, spiders, and scorpions
BRAWL,A rough or noisy fight or quarrel
FLECK,A very small patch of color or light
CACTI,Plural of cactus
CELLO,A bass instrument of the violin family
TREND,A general direction in which something is developing or changing
SPRAY,A liquid that is blown or driven through the air in the form of tiny drops
CURLY,Made, growing, or arranged in curls or coils
CROSS,A mark, object, or figure formed by two short intersecting lines or pieces
STEEL,A hard, strong, gray or bluish-gray alloy of iron with carbon
SEWER,An underground conduit for carrying off drainage water and waste matter
COVET,To yearn to possess or have something
DUSKY,Darkish in color
FICUS,A tree, shrub, or climbing plant of a genus that includes the figs
NEIGH,A characteristic high-pitched cry of a horse
BARON,A member of the lowest order of the British nobility
NOISE,A sound, especially one that is loud or unpleasant
DATUM,A piece of information
PRUDE,A person who is or claims to be easily shocked by matters relating to sex or nudity
FOGGY,Full of or characterized by fog
PIPER,A person who plays a pipe
LAPEL,The part on each side of a coat or jacket immediately below the collar
TROOP,A group of soldiers
COUGH,To expel air from the lungs with a sudden sharp sound
PAGAN,A person holding religious beliefs other than those of the main world religions
PECAN,A smooth, brown, nut-like stone
DIODE,A semiconductor device with two terminals
BRIDE,A woman on her wedding day
FLOOR,The lower surface of a room
TROVE,A store of valuable or delightful things
BOOST,To help or encourage to increase or improve
NAVEL,A rounded, knotty scar on the abdomen
FLACK,A publicity agent
POUTY,Pushing one's lips or bottom lip forward as an expression of annoyance or in order to look sexually attractive
GRATE,To reduce something to small shreds by rubbing it on a grater
SHREW,A small, mouselike insectivorous mammal with a long snout
SNIDE,Derogatory or mocking in an indirect way
DRONE,A low continuous humming sound
HONEY,A sweet, sticky, yellowish-brown fluid made by bees
DRANK,Past tense of drink
BOOTY,Valuable stolen goods
GRILL,A metal framework used for cooking food over an open fire
GIRTH,The measurement around the middle of something
LYMPH,A colorless fluid containing white blood cells
PALER,Lighter in color or shade
OUNCE,A unit of weight of one sixteenth of a pound
ISLET,A small island
ILIAC,Relating to the ilium or the nearby regions of the lower body
HELLO,Used as a greeting or to begin a telephone conversation
MAMMY,A person's mother
WRING,To squeeze and twist something to force liquid from it
VODKA,A Russian spirit made from rye or potatoes
LATCH,A metal bar with a catch and lever used for fastening a door or gate
PERCH,To alight or rest on something
BAGEL,A dense, chewy, ring-shaped bread roll
VOMIT,To eject matter from the stomach through the mouth
LAUGH,To make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement
REEDY,Having a thin, high-pitched, and piercing tone
WHEAT,A cereal plant that is the most important kind grown in temperate countries
DROOL,To drop saliva uncontrollably from the mouth
THETA,The eighth letter of the Greek alphabet
GOODY,A good or satisfactory person or thing
PLANT,A living organism of the kind exemplified by trees, shrubs, herbs, grasses, ferns, and mosses
MOLDY,Covered with or smelling of mold
ATOLL,A ring-shaped reef, island, or chain of islands formed of coral
RUDDY,Having a healthy red color
SORRY,Feeling distress, especially through sympathy with someone else's misfortune
TRICK,A cunning or skillful act or scheme intended to deceive or outwit someone
BONEY,So thin that the bones show
TOPAZ,A precious stone, typically a transparent yellow
TAWNY,Of an orange-brown or yellowish-brown color
KARMA,The sum of a person's actions in this and previous states of existence
SWORE,Past tense of swear
TWANG,A strong, ringing sound such as that made by the plucked string of a musical instrument
POSSE,A body of men summoned by a sheriff to enforce the law
PHASE,A distinct period or stage in a series of events or a process of change or development
QUEER,Strange; odd
VIPER,A venomous snake with large hinged fangs
GRAPE,A berry growing in clusters on a vine
REACT,To respond or behave in a particular way in response to something
CHESS,A board game of strategic skill for two players
CLOTH,Woven or felted fabric made from wool, cotton, or a similar fiber
BASIC,Forming an essential foundation or starting point
FLORA,The plants of a particular region, habitat, or geological period
SCRUB,To rub someone or something hard so as to clean them
WHINY,Having a complaining, high-pitched, whining tone
CROWN,A circular ornamental headdress worn by monarchs
SNIPE,To shoot at someone from a hiding place
COBRA,A highly venomous snake of the family Elapidae
UNFED,Not supplied with food
SNARE,A trap for catching birds or animals
FLESH,The soft substance consisting of muscle and fat that is found between the skin and bones
TWIXT,Between
PENAL,Relating to or used for the punishment of crime
OVINE,Relating to or resembling sheep
DEVIL,The supreme spirit of evil
TIBIA,The inner and typically larger of the two bones between the knee and the ankle
LEAKY,Having a hole or crack through which liquid or gas may escape
TREAD,To walk in a specified way
JAZZY,Bright, colorful, and showy
HIPPO,A large, thick-skinned, semiaquatic African mammal
COULD,Used to indicate possibility
SMOCK,A loose garment worn over other clothes to protect them
DUSTY,Covered with or resembling dust
PRICK,To make a small hole in something with a sharp point
CRICK,A sharp, painful spasm of the muscles in the neck or back
SINEW,A piece of tough, fibrous tissue uniting muscle to bone or bone to bone
TIDAL,Relating to or affected by tides
LIMBO,An uncertain period of awaiting a decision or resolution
FOYER,An entrance hall or other open area in a building
CABAL,A secret political clique or faction
GROOM,A person employed to take care of horses
GUARD,To watch over in order to protect or control
REBUS,A puzzle in which words are represented by combinations of pictures and individual letters
ADULT,A person who is fully grown or developed
ROWDY,Noisy and disorderly
MAIZE,A tall annual grass that yields large grains, or kernels
EXTOL,To praise enthusiastically
GRIEF,Deep sorrow, especially that caused by someone's death
AMBER,A hard, translucent, fossilized resin produced by extinct coniferous trees
BLOWN,Past participle of blow
SCOUT,A person sent out ahead of a main force so as to gather information
STORK,A tall, long-legged, long-necked wading bird with a long, stout bill
RURAL,In, relating to, or characteristic of the countryside
HAREM,The separate part of a Muslim household reserved for wives, concubines, and female servants
NIGHT,The period of darkness in each twenty-four hours
STOVE,An apparatus for cooking or heating that operates by burning fuel or using electricity
FEMME,A woman
STOOL,A seat without a back or arms
QUOTA,A fixed share of something that a person or group is entitled to receive or is bound to contribute
CHAMP,A person who has defeated or surpassed all rivals in a competition
ALTAR,A table or flat-topped block used as the focus for a religious ritual
BLEND,To mix a substance with another substance so that they combine together
STORM,A violent disturbance of the atmosphere with strong winds and usually rain, thunder, lightning, or snow
FLUNK,To fail to reach the required standard in an exam, course, or subject
FELLA,A man or boy
ALIEN,A foreigner, especially one who is not a naturalized citizen of the country where they are living
HOTLY,In a passionate, excited, or angry way
ERUPT,To become active and eject lava, ash, and gases
JOLLY,Happy and cheerful
TANGO,A ballroom dance originating in Buenos Aires
MAGIC,The power of apparently influencing the course of events by using mysterious or supernatural forces
FAITH,Complete trust or confidence in someone or something
WEAVE,To form fabric by interlacing long threads
PIVOT,The central point, pin, or shaft on which a mechanism turns or oscillates
AZURE,A bright blue in color, like a cloudless sky
WHITE,The color of milk or fresh snow
NINNY,A foolish or stupid person
SOAPY,Containing or covered with soap
DECOR,The furnishing and decoration of a room
ABLED,Having a disability
SPEND,To give money to pay for goods, services, or so on
SUAVE,Charming, confident, and elegant
ANIME,A style of Japanese film and television animation
CLICK,A short, sharp sound as of a switch being operated
INBOX,An electronic folder in which emails sent to an individual are held
SASSY,Lively, bold, and full of spirit
SHORN,Past participle of shear
SMEAR,To coat or mark messily or carelessly with a greasy or sticky substance
SHOWY,Having a striking appearance or style, typically by being excessively bright, colorful, or ostentatious
OZONE,A colorless, unstable, toxic gas with a pungent odor and powerful oxidizing properties
QUASI,Seemingly; apparently but not really
CRONE,An old woman who is thin and ugly
ECLAT,Brilliant display or effect
MATEY,Friendly and familiar
SLIME,A moist, soft, and slippery substance
AWFUL,Very bad or unpleasant
AWAKE,Not asleep
EVOKE,To bring or recall to the conscious mind
CRATE,A slatted wooden case used for transporting goods
CHAOS,Complete disorder and confusion
CLEAN,Free from dirt, marks, or stains
PUREE,A smooth, creamy substance made of liquidized or crushed fruit or vegetables
PETTY,Of little importance; trivial
CREEK,A stream or minor tributary of a river
CHASM,A deep fissure in the earth, rock, or another surface
PLANK,A long, thin, flat piece of timber
FORUM,A place, meeting, or medium where ideas and views on a particular issue can be exchanged
GUMBO,A soup popular in the US state of Louisiana
BIRCH,A slender, fast-growing tree that has thin, papery bark
STUFF,Matter, material, articles, or activities of a specified or indeterminate kind
BANJO,A stringed instrument of the guitar family, with a long neck and a circular body
FRESH,Not previously known or used; new or different
CYBER,Relating to or characteristic of the culture of computers, information technology, and virtual reality
TATTY,In poor condition; shabby
SALSA,A type of Latin American dance music incorporating elements of jazz and rock
WHARF,A level quayside area to which a ship may be moored to load and unload
OCTAL,Relating to or using a system of numerical notation that has 8 as its base
BUSHY,Growing thickly
UNZIP,To unfasten a zipper
PHONY,Not genuine; fraudulent
JETTY,A landing stage or small pier at which boats can dock or be moored
RELAY,A group of people or animals engaged in a task or activity for a period of time and then replaced by a similar group
INERT,Lacking the ability or strength to move
CRANK,A person with unconventional and strange ideas
LUMPY,Full of or covered with lumps
SAINT,A person acknowledged as holy or virtuous and typically regarded as being in heaven after death
HARSH,Unpleasantly rough or jarring to the senses
RIGHT,Morally good, justified, or acceptable
KIOSK,A small open-fronted hut or cubicle from which newspapers, refreshments, tickets, etc., are sold
WACKY,Funny or amusing in a slightly odd or peculiar way
CABIN,A private room or compartment on a ship
BLAST,A destructive wave of highly compressed air spreading outward from an explosion
SERUM,An amber-colored, protein-rich liquid that separates out when blood coagulates
LOVER,A partner in a sexual or romantic relationship
CONDO,A condominium
PIXIE,A supernatural being in folklore and children's stories
PARRY,To ward off a weapon or attack with a countermove
CHORD,A group of three or more notes sounded together in harmony
ELATE,To make someone ecstatically happy
SPRIG,A small stem bearing leaves or flowers
HATER,A person who greatly dislikes a specified person or thing
GRAZE,To eat grass in a field
TRUTH,The quality or state of being true
METRO,A subway system in a city
LEMON,A pale yellow oval citrus fruit with thick skin and fragrant, acidic juice
BONGO,Either of a pair of small, long-bodied drums, typically held between the knees
BLESS,To pronounce words in a religious rite to confer or invoke divine favor upon
LOAMY,Relating to or consisting of loam; fertile
SNAIL,A mollusk with a single spiral shell into which the whole body can be withdrawn
MAMMA,A person's mother
EMBED,To fix an object firmly and deeply in a surrounding mass
DEBIT,An entry recording an amount owed
OLDER,Having lived for a longer time
DADDY,A person's father
TENSE,Stretched tight or rigid
POSIT,To assume as a fact; put forward as a basis of argument
SWINE,A pig
WAIVE,To refrain from insisting on or using a right or claim
DITCH,A narrow channel dug in the ground
VENUE,The place where something happens, especially an organized event
POSER,A person who acts in an affected manner in order to impress others
BEACH,A pebbly or sandy shore, especially by the ocean
GULCH,A narrow and steep-sided ravine marking the course of a fast stream
ASCOT,A man's broad, formal necktie
NERVE,A whitish fiber or bundle of fibers that transmits impulses of sensation to the brain or spinal cord
TITAN,A person or thing of very great strength, intellect, or importance
AXION,A hypothetical elementary particle postulated to account for the absence of charge-parity violation in the strong interaction
FURRY,Covered with fur
MACHO,Showing aggressive pride in one's masculinity
SPIED,Past tense of spy
LYRIC,Expressing the writer's emotions, usually briefly and in stanzas or recognized forms
WILLY,A person's penis
AGATE,An ornamental stone consisting of a hard variety of chalony
VAUNT,To boast about or praise something, especially excessively
BASIS,The underlying support or foundation for an idea, argument, or process
BAKER,A person who makes bread and cakes, especially as a trade
ANGRY,Feeling or showing strong annoyance, displeasure, or hostility
PLACE,A particular position or point in space
EARTH,The planet on which we live
HINGE,A movable joint or mechanism on which a door, gate, or lid swings
HEARD,Past tense of hear
LOOPY,Full of loops
SIXTH,Constituting number six in a sequence
FEAST,A large meal, typically one in celebration of something
BLAME,To feel or declare that someone or something is responsible for a fault or wrong
AFTER,During the period of time following an event
ROCKY,Consisting or full of rock or rocks
HYDRO,Relating to hydroelectric power
FILER,A person who files documents
ISSUE,An important topic or problem for debate or discussion
THIEF,A person who steals another person's property
DEITY,A god or goddess
RAPID,Happening in a short time or at a fast pace
SAUCE,A thick liquid served with or on food
ABACK,By surprise
SEEDY,Sordid and disreputable
EVICT,To expel someone from a property
ALIBI,A claim or piece of evidence that one was elsewhere when an act is alleged to have taken place
DUMMY,A model or replica of a human being
PLAZA,A public square, marketplace, or similar open space in a built-up area
MOUNT,To climb up stairs, a hill, or other rising surface
CHIDE,To scold or rebuke
PREEN,To devote effort to making oneself look attractive
MAJOR,Important, serious, or significant
SWASH,To move with a splashing sound
WIDER,Of a greater width
EMAIL,Messages distributed by electronic means from one computer user to one or more recipients via a network
RACER,A person or animal that races
LEERY,Cautious or wary due to realistic suspicions
DEIGN,To do something that one considers to be beneath one's dignity
RANDY,Having a strong or excessive sexual desire
MECCA,A place which attracts people of a particular group or with a particular interest
JUMBO,Very large
SEDAN,A car for four or more people, having two or four doors and a separate trunk
COVEY,A small party or flock of birds
FEMUR,The bone of the thigh or upper hind limb
SWISH,To move with a hissing or rushing sound
GUILT,The fact of having committed a specified or implied offense or crime
TAKER,A person who takes something
SHRUG,To raise one's shoulders slightly and momentarily to express doubt, ignorance, or indifference
SOOTH,Truth
GUISE,An external form, appearance, or manner of presentation
IMPLY,To strongly suggest the truth or existence of something not expressly stated
BEZEL,A grooved ring holding the glass or crystal of a watch or other instrument
SPERM,A spermatozoon
WORDY,Using or expressed in too many words
MOTTO,A short sentence or phrase chosen as encapsulating the beliefs or ideals of an individual, family, or institution
BOARD,A long, thin, flat piece of wood or other hard material
SHELF,A flat length of wood or other rigid material, attached to a wall or forming part of a piece of furniture
SHUSH,To tell someone to be quiet
APART,Separated by a distance
STYLE,A manner of doing something
UNWED,Not married
BRASH,Self-assertive in a rude, noisy, or overbearing way
LIKEN,To point out the resemblance of someone or something to
SHOVE,To push someone or something roughly
POPPY,A herbaceous plant with showy flowers
DIARY,A book in which one keeps a daily record of events and experiences
VERGE,An edge or border
GRANT,To agree to give or allow something requested to
SNUFF,The charred part of a candle wick
WOOER,A man who courts a woman
ELDER,Of a greater age
RUSTY,Affected by rust
IGLOO,A dome-shaped Eskimo house
DAISY,A small grassland plant that has flowers with a yellow disk and white rays
TRIBE,A social division in a traditional society consisting of families or communities linked by social, economic, religious, or blood ties
PUPPY,A young dog
SNAKY,Like a snake in appearance; long and sinuous
MACAW,A large, long-tailed parrot with brightly colored plumage
WARTY,Covered with warts
VISOR,A stiff peak at the front of a cap
SPOIL,To diminish or destroy the value or quality of
THUMP,To hit or strike heavily
WEIGH,To find out how heavy someone or something is
BEECH,A large tree with smooth gray bark, glossy leaves, and hard, pale, fine-grained timber
FIGHT,To take part in a violent struggle involving the exchange of physical blows
CHARM,The power or quality of giving delight or arousing admiration
UNION,The action or fact of joining or being joined
ANVIL,A heavy iron block with a flat top and concave sides
BEGET,To bring a child into existence by the process of reproduction
SKULK,To keep out of sight, typically with a sinister or cowardly motive
FROTH,A mass of small bubbles in liquid caused by agitation, fermentation, or salivating
TOKEN,A thing serving as a visible or tangible representation of a fact, quality, feeling, etc.
ARROW,A weapon consisting of a stick with a sharp point, designed to be shot from a bow
HUMAN,Relating to or characteristic of people or human beings
SAFER,Protected from or not exposed to danger or risk
ARDOR,Enthusiasm or passion
PAYEE,A person to whom money is paid or is to be paid
CAROL,A religious folk song or popular hymn
WIMPY,Weak and cowardly or feeble
BLAZE,A very large or fiercely burning fire
PARTY,A social gathering of invited guests
VIRAL,Relating to or of the nature of a virus
OLIVE,A small oval fruit with a hard stone and bitter flesh
KNOCK,To strike a surface noisily to attract attention
PURER,Not mixed or adulterated with any other substance or material
FOUND,To establish or originate an institution or organization
SHIRT,A garment for the upper body with a collar and sleeves
CRAVE,To feel a powerful desire for something
TOTEM,A natural object or animal believed by a particular society to have spiritual significance
CARVE,To cut a hard material in order to produce an object, design, or inscription
APPLE,The round fruit of a tree of the rose family
RETRY,To try again
FILTH,Disgusting dirt
ANODE,The positively charged electrode by which the electrons leave a device
THESE,Plural of this
QUITE,To the utmost or most absolute extent or degree
SCARF,A length or square of fabric worn around the neck or head
PLEAT,A double or multiple fold in a garment or other item made of cloth
FEIGN,To pretend to be affected by a feeling, state, or injury
SCALY,Covered with scales
PENCE,Plural of penny
SNAKE,A long, limbless reptile that has no eyelids, a short tail, and jaws that are capable of considerable extension
PRONG,Each of two or more projecting pointed parts on a fork or other implement
STANK,Past tense of stink
TERSE,Sparing in the use of words; abrupt
MORPH,To undergo or cause to undergo a gradual process of transformation
CAMEO,A piece of jewelry, typically oval in shape
USAGE,The action of using something or the fact of being used
MODEL,A three-dimensional representation of a person or thing or of a proposed structure
JUROR,A member of a jury
BLURT,To say something suddenly and without careful consideration
TILDE,A mark placed over a letter to indicate a change in pronunciation
UNIFY,To make or become united, uniform, or whole
UNTIL,Up to the point in time or the event mentioned
BUGGY,A small motor vehicle, typically with an open top
SWOON,To faint from extreme emotion
FUDGE,A soft candy made from sugar, butter, and milk or cream
OXIDE,A chemical compound that contains at least one oxygen atom
PROWL,To move around restlessly and stealthily, especially in search of prey
TRACE,To find or discover by investigation
SCREE,A mass of small loose stones that form or cover a slope on a mountain
PRANK,A practical joke or mischievous act
SLEPT,Past tense of sleep
SLOSH,To move irregularly with a splashing sound
FAINT,Lacking in strength or clarity
TOUGH,Strong enough to withstand adverse conditions or rough handling
ASHEN,Of the pale gray color of ash
GRAND,Magnificent and imposing in appearance, size, or style
PATSY,A person who is easily taken advantage of, especially by being cheated or blamed for something
SPANK,To slap with one's open hand or a flat object
CLOUD,A visible mass of water droplets or ice crystals suspended in the atmosphere
SLEEK,Smooth and glossy
FLUID,A substance that has no fixed shape and yields easily to external pressure
BASTE,To pour fat or juices over meat during cooking in order to keep it moist
HAPPY,Feeling or showing pleasure or contentment
WRUNG,Past participle of wring
UMBRA,The fully shaded inner region of a shadow
VERSO,A left-hand page of an open book
CRUMP,A loud, thudding sound
CADDY,A person who carries a golfer's clubs
QUICK,Moving fast or doing something in a short time
TASTE,The sensation of flavor perceived in the mouth and throat on contact with a substance
START,To begin or be reckoned from a particular point in time or space
SMITE,To strike with a firm blow
LUMEN,The SI unit of luminous flux
GOLEM,An automaton or robot
BUILT,Past participle of build
TRADE,The action of buying and selling goods and services
ENTER,To go or come into a place
QUEST,A long or arduous search for something
ROGER,Used in radio communication to indicate that a message has been received and understood
PROBE,To physically explore or examine something with the hands or an instrument
UNITE,To come or bring together for a common purpose or action
GAYLY,In a cheerful or lighthearted way
SERVE,To perform duties or services for another person or an organization
SUNNY,Bright with sunlight
FRISK,To pass the hands over someone in a search for hidden weapons, drugs, or other items
LEDGE,A narrow horizontal surface projecting from a wall, cliff, or other surface
WREAK,To cause a large amount of damage or harm
PLAIT,A single length of hair or other flexible material in which three or more strands are intertwined
TIPSY,Slightly drunk
ZONAL,Relating to or arranged in a zone
MAKER,A person or thing that makes or produces something
ARSON,The criminal act of deliberately setting fire to property
DEMUR,To raise doubts or objections or show reluctance
WORTH,The level at which someone or something deserves to be valued or rated
CHORE,A routine task, especially a household one
KAYAK,A canoe of a type used originally by the Inuit
YIELD,To produce or provide a natural, agricultural, or industrial product
FLAIR,A special or instinctive aptitude or ability for doing something well
RISER,A person who gets out of bed at a particular time of the morning
IDYLL,An extremely happy, peaceful, or picturesque episode or scene
STUMP,The bottom part of a tree left projecting from the ground after the trunk has been cut down
TWEED,A rough, woolen fabric, of a soft, open, flexible texture
STORY,An account of imaginary or real people and events told for entertainment
FETUS,An unborn offspring of a mammal
FUGUE,A contrapuntal composition in which a short melody or phrase is introduced by one part and successively taken up by others
PRINT,To produce books, newspapers, magazines, etc., especially in large quantities
FRANK,Open, honest, and direct in speech or writing
TODAY,On or in the course of this present day
CEASE,To bring or come to an end
GIVEN,Past participle of give
HALVE,To divide into two parts of equal or roughly equal size
STOCK,The goods or merchandise kept on the premises of a business or warehouse
AMPLE,Enough or more than enough; plentiful
INLAY,To ornament an object by embedding pieces of a different material in it
MYRRH,A fragrant gum resin obtained from certain trees
PARSE,To analyze a sentence into its parts and describe their syntactic roles
STUCK,Past participle of stick
FABLE,A short story, typically with animals as characters
CRAZE,An enthusiasm for a particular activity or object that appears suddenly and achieves widespread but short-lived popularity
STEIN,An earthenware beer mug
DIRTY,Covered or marked with an unclean substance
SPOOL,A cylindrical device on which thread, yarn, or other flexible materials can be wound
BOOBY,A stupid person
RATIO,The quantitative relation between two amounts showing the number of times one value contains or is contained within the other
CAGEY,Reluctant to give information owing to caution or suspicion
OUTGO,To go faster, farther, or longer than
PLUMP,Having a full, rounded shape
TAPIR,A nocturnal hoofed mammal with a stout body, sturdy limbs, and a short, flexible proboscis
GROIN,The area between the abdomen and the thigh on either side of the body
MINOR,Lesser in importance, seriousness, or significance
RADIO,The transmission and reception of electromagnetic waves of radio frequency
EQUAL,Being the same in quantity, size, degree, or value
RIGOR,The quality of being extremely thorough, exhaustive, or accurate
AUNTY,A person's aunt
BEING,Existence
ATONE,To make amends or reparation
BLEED,To lose blood from the body as a result of injury or illness
FETAL,Relating to a fetus
SMILE,To form one's features into a pleased, kind, or amused expression
TRAIL,A mark or a series of signs or objects left behind by the passage of someone or something
DIGIT,Any of the numerals from 0 to 9
SHEET,A large rectangular piece of cotton or other fabric
TWEET,The chirping sound of a small bird
BICEP,The large muscle in the upper arm that turns the hand to face palm uppermost
WRECK,The destruction of a ship at sea; a shipwreck
ACRID,Having an irritatingly strong and unpleasant taste or smell
FIXER,A person who makes arrangements for other people
SPIEL,An elaborate or extravagant speech or story
GAFFE,An unintentional act or remark causing embarrassment to its originator
MARCH,To walk in a military manner with a regular measured tread
SHALE,A soft, finely stratified sedimentary rock that formed from consolidated mud or clay
LANKY,Tall and thin with long, awkward limbs
ASKEW,Not in a straight or level position
BELLE,A beautiful girl or woman
SMOTE,Past tense of smite
SMOKE,A visible suspension of carbon or other particles in air
BYLAW,A rule made by a company or society to control the actions of its members
PRIVY,Sharing in the knowledge of something secret or private
EXALT,To hold someone or something in very high regard
DOWEL,A headless cylindrical pin
CASTE,Each of the hereditary classes of Hindu society
GLADE,An open space in a wood or forest
QUIET,Making little or no noise
RAYON,A textile fiber or fabric made from regenerated cellulose
SWEPT,Past participle of sweep
FIELD,An area of open land
RIFLE,A gun, especially one fired from shoulder level
BRISK,Active, fast, and energetic
PAPER,Material manufactured in thin sheets from the pulp of wood or other fibrous substances
THROW,To propel something with force through the air by a movement of the arm and hand
OMBRE,Having tones of color that shade into each other
TIMID,Showing a lack of courage or confidence
EVERY,Used to refer to all the individual members of a set without exception
FRIED,Cooked in hot fat or oil
HEIST,A robbery
DELTA,The fourth letter of the Greek alphabet
TALON,A claw, especially one belonging to a bird of prey
WHEEL,A circular object that revolves on an axle
GRIME,Dirt ingrained on the surface of something
SHINY,Reflecting light, typically because it is very clean or polished
KNEAD,To work dough or clay into a uniform mixture by pressing, folding, and stretching
PUNCH,To strike with the fist
BILLY,A male goat
EGRET,A heron with mainly white plumage
ANGLE,The space between two intersecting lines or surfaces at or close to the point where they meet
QUERY,A question, especially one addressed to an official or organization
LEVER,A rigid bar resting on a pivot
LADEN,Heavily loaded or weighed down
TOAST,Sliced bread browned on both sides by exposure to radiant heat
WIDOW,A woman who has lost her spouse by death and has not remarried
BRIBE,To persuade someone to act in one's favor, typically illegally or dishonestly, by a gift of money or other inducement
CARAT,A unit of weight for precious stones and pearls
IDIOT,A stupid person
RABID,Having or proceeding from an extreme or fanatical support of or belief in something
CRIER,A person who shouts out public announcements
GLOAT,To contemplate or dwell on one's own success or another's misfortune with smugness or malignant pleasure
NUTTY,Containing or tasting of nuts
CURVE,A line or outline that gradually deviates from being straight
TRICE,In a moment; very quickly
SKILL,The ability to do something well; expertise
GRUFF,Abrupt or taciturn in manner
MACRO,Large-scale; overall
ABODE,A place of residence; a house or home
